iso_code,year,rateofoutofschoolMF
NGA,2006,31.4669
NGA,2007,28.6443
NGA,2008,35.39747
NGA,2009,34.31822
NGA,2010,34.32635
LCA,1981,7.73258
LCA,1982,5.80259
LCA,1983,0.94189
LCA,1984,1.25678
LCA,1985,
LCA,1986,
LCA,1990,2.69104
LCA,2000,9.35957
LCA,2001,8.93561
LCA,2002,1.65696
LCA,2003,2.91008
LCA,2004,4.93573
LCA,2005,7.21532
LCA,2006,4.82401
LCA,2007,5.87807
TJK,2000,5.5459
TJK,2001,5.74024
TJK,2002,3.81128
TJK,2003,3.04316
TJK,2004,2.62397
TJK,2005,2.56022
TJK,2006,2.71681
TJK,2007,3.49819
TJK,2008,2.23349
TJK,2009,2.11438
TJK,2010,1.8912
TJK,2011,1.92955
TJK,2012,1.66697
TJK,2013,1.99646
TJK,2014,2.77668
TJK,2015,1.88715
NLD,1971,7.12346
NLD,1972,7.72397
NLD,1973,8.37945
NLD,1974,9.33477
NLD,1975,9.86074
NLD,1976,9.48633
NLD,1977,9.49144
NLD,1978,9.18415
NLD,1979,8.5929
NLD,1980,8.22177
NLD,1981,8.3463
NLD,1982,9.9294
NLD,1983,11.57096
NLD,1984,12.67833
NLD,1985,13.12701
NLD,1986,7.62597
NLD,1987,5.67909
NLD,1988,4.00966
NLD,1989,3.33936
NLD,1990,3.42261
NLD,1991,4.06099
NLD,1992,5.02502
NLD,1993,5.7058
NLD,1994,0.31991
NLD,1995,0.18439
NLD,1996,0.25744
NLD,1997,0.24645
NLD,1999,0.52951
NLD,2000,0.49648
NLD,2001,0.55075
NLD,2002,0.58903
NLD,2003,0.73895
NLD,2004,1.43082
NLD,2005,1.6105
NLD,2006,1.27567
NLD,2007,0.58818
NLD,2008,0.49742
NLD,2009,0.33507
NLD,2010,0.11525
NLD,2011,0.09447
NLD,2012,0.14698
NLD,2013,0.93961
COG,1972,16.12285
COG,1974,9.68811
COG,1976,6.59563
COG,1978,2.98684
COG,1979,2.73553
COG,1980,11.02762
COG,1981,12.05416
COG,1982,11.50695
COG,1983,11.08192
COG,1984,9.83497
COG,2005,46.58433
COG,2006,42.97793
COG,2010,10.66842
COG,2012,7.14841
AZE,1991,7.96504
AZE,1992,7.57295
AZE,1993,11.58571
AZE,1994,18.61997
AZE,1995,16.4258
AZE,1996,6.74625
AZE,1997,9.89728
AZE,1998,11.2276
AZE,1999,7.8589
AZE,2000,11.76038
AZE,2001,14.5366
AZE,2002,15.08966
AZE,2003,16.6537
AZE,2004,15.71674
AZE,2005,16.04646
AZE,2006,16.22799
AZE,2007,16.54159
AZE,2008,16.01249
AZE,2009,14.4811
AZE,2010,15.27395
AZE,2011,12.73192
AZE,2012,10.70997
AZE,2013,6.32932
AZE,2014,4.67521
MLT,1971,17.54363
MLT,1972,16.80538
MLT,1973,16.99575
MLT,1974,15.26422
MLT,1975,12.00703
MLT,1976,6.32559
MLT,1977,0.80857
MLT,1978,0.89895
MLT,1979,0.64457
MLT,1980,1.06534
MLT,1981,2.59463
MLT,1982,3.36329
MLT,1983,5.92147
MLT,1984,5.88379
MLT,1985,3.76309
MLT,1986,5.20571
MLT,1987,7.07102
MLT,1988,6.88175
MLT,1989,4.95744
MLT,1990,2.37529
MLT,1991,0.65295
MLT,1992,0.25389
MLT,1993,0.41538
MLT,1994,3.12715
MLT,1995,4.20032
MLT,1996,4.33069
MLT,1997,4.8993
MLT,2011,10.91296
MLT,2012,9.99923
MLT,2013,7.06287
MLT,2014,3.40582
NRU,2012,23.28467
NRU,2014,13.37325
ESP,1971,6.94251
ESP,1972,5.58215
ESP,1973,4.62547
ESP,1975,0.52291
ESP,1976,0.084
ESP,1977,0.83299
ESP,1978,1.33008
ESP,1979,1.21643
ESP,1980,0.83611
ESP,1981,0.81086
ESP,1983,0.40362
ESP,1984,0.23476
ESP,1985,0.20211
ESP,1986,0.19285
ESP,1987,0.78629
ESP,1988,1.34865
ESP,1989,0.74458
ESP,1990,0.77392
ESP,1991,0.33525
ESP,1992,0.39797
ESP,1993,0.00846
ESP,1994,0.02138
ESP,1995,0.03946
ESP,1996,0.05971
ESP,1997,0.0526
ESP,1999,0.1312
ESP,2000,0.17843
ESP,2001,0.23155
